date,open,high,low,close,volume
2023-05-16 04:00:00+00:00,165.69,169.46,164.48,166.52,548078.0
2023-05-17 04:00:00+00:00,168.345,174.47,167.26,173.79,735890.0
2023-05-18 04:00:00+00:00,174.22,177.06,172.52,176.95,625014.0
2023-05-19 04:00:00+00:00,177.07,181.94,176.35,180.14,908055.0
2023-05-22 04:00:00+00:00,180.885,189.31,180.16,188.95,848410.0
2023-05-23 04:00:00+00:00,186.49,192.95,185.27,185.79,958252.0
2023-05-24 04:00:00+00:00,182.23,184.17,178.235,182.9,792431.0
2023-05-25 04:00:00+00:00,186.54,186.78,180.65,184.43,671485.0
2023-05-26 04:00:00+00:00,184.62,198.59,184.57,193.2,1213724.0
2023-05-30 04:00:00+00:00,200.09,204.45,197.64,201.16,917562.0
2023-05-31 04:00:00+00:00,199.83,203.935,195.21,203.88,1018943.0
2023-06-01 04:00:00+00:00,202.55,209.79,199.38,207.49,1220618.0
2023-06-02 04:00:00+00:00,210.02,217.23,209.785,213.96,1031035.0
2023-06-05 04:00:00+00:00,217.84,221.23,214.76,217.62,859501.0
2023-06-06 04:00:00+00:00,216.05,221.9,212.56,221.42,794635.0
2023-06-07 04:00:00+00:00,228.09,230.81,223.24,224.59,1065013.0
2023-06-08 04:00:00+00:00,224.13,235.23,223.07,234.85,843667.0
2023-06-09 04:00:00+00:00,249.02,252.3,242.03,244.42,1371778.0
2023-06-12 04:00:00+00:00,247.96,250.895,244.71,249.88,796125.0
2023-06-13 04:00:00+00:00,253.5,259.63,251.35,258.69,781286.0
2023-06-14 04:00:00+00:00,260.21,261.55,250.55,256.78,958493.0
2023-06-15 04:00:00+00:00,248.36,258.88,247.3,256.02,677418.0
2023-06-16 04:00:00+00:00,259.02,263.58,257.27,260.41,919753.0
2023-06-20 04:00:00+00:00,261.57,274.745,261.13,274.43,808952.0
2023-06-21 04:00:00+00:00,274.98,276.94,257.79,259.44,1342959.0
2023-06-22 04:00:00+00:00,250.51,264.76,248.29,264.58,1450027.0
2023-06-23 04:00:00+00:00,259.13,262.42,252.85,256.5,1009011.0
2023-06-26 04:00:00+00:00,250.05,258.335,240.72,241.02,1084192.0
2023-06-27 04:00:00+00:00,243.08,250.38,240.92,250.14,817581.0
2023-06-28 04:00:00+00:00,249.73,259.83,248.94,256.35,782034.0
2023-06-29 04:00:00+00:00,257.99,260.61,253.695,257.53,512641.0
2023-06-30 04:00:00+00:00,260.65,264.4,260.03,261.73,540291.0
2023-07-03 04:00:00+00:00,276.53,284.24,275.28,279.9,707757.0
2023-07-05 04:00:00+00:00,279.0,283.84,277.62,282.465,668310.0
2023-07-06 04:00:00+00:00,278.09,279.7,272.89,276.61,557957.0
2023-07-07 04:00:00+00:00,278.41,280.65,273.82,274.44,552676.0
2023-07-10 04:00:00+00:00,276.51,277.39,265.1,269.49,676220.0
2023-07-11 04:00:00+00:00,268.63,270.89,266.5,269.84,584728.0
2023-07-12 04:00:00+00:00,276.31,276.4,271.5,271.99,663629.0
2023-07-13 04:00:00+00:00,274.61,279.4,270.64,277.9,497146.0
2023-07-14 04:00:00+00:00,277.01,285.3,276.45,281.39,620245.0
2023-07-17 04:00:00+00:00,286.73,292.15,283.63,290.33,584520.0
2023-07-18 04:00:00+00:00,290.24,295.21,286.08,293.26,570523.0
2023-07-19 04:00:00+00:00,296.05,299.25,289.57,291.2,838129.0
2023-07-20 04:00:00+00:00,279.48,280.93,261.2,263.02,1248437.0
2023-07-21 04:00:00+00:00,267.94,268.0,255.81,259.84,1016216.0
2023-07-24 04:00:00+00:00,255.77,269.74,254.17,269.12,680258.0
2023-07-25 04:00:00+00:00,272.51,272.82,265.0,265.235,537963.0
2023-07-26 04:00:00+00:00,263.155,268.0,261.81,264.3,389446.0
2023-07-27 04:00:00+00:00,268.39,269.07,255.305,255.73,588463.0
2023-07-28 04:00:00+00:00,259.89,267.23,258.26,266.54,628368.0
2023-07-31 04:00:00+00:00,267.45,269.01,263.88,267.53,339673.0
2023-08-01 04:00:00+00:00,266.25,266.415,260.29,261.1,345514.0
2023-08-02 04:00:00+00:00,255.53,259.405,250.545,254.325,517157.0
2023-08-03 04:00:00+00:00,252.05,260.475,252.05,259.31,405821.0
2023-08-04 04:00:00+00:00,261.05,264.67,253.13,253.76,645687.0
2023-08-07 04:00:00+00:00,251.62,253.545,242.88,251.44,515131.0
2023-08-08 04:00:00+00:00,247.605,250.88,245.08,249.72,391164.0
2023-08-09 04:00:00+00:00,250.97,250.99,241.91,242.08,395024.0
2023-08-10 04:00:00+00:00,245.5,251.74,243.055,245.38,537099.0
2023-08-11 04:00:00+00:00,241.77,243.74,238.2,242.58,534105.0
2023-08-14 04:00:00+00:00,235.55,240.65,233.79,239.8,479188.0
2023-08-15 04:00:00+00:00,238.76,240.44,232.615,232.88,416076.0
2023-08-16 04:00:00+00:00,228.01,233.7,225.445,225.59,577092.0
2023-08-17 04:00:00+00:00,226.11,226.63,218.84,219.22,501763.0
2023-08-18 04:00:00+00:00,214.07,217.53,212.46,215.485,782957.0
2023-08-21 04:00:00+00:00,221.55,232.08,220.62,231.24,792477.0
2023-08-22 04:00:00+00:00,240.27,240.65,229.63,233.26,620834.0
2023-08-23 04:00:00+00:00,229.35,238.93,229.325,236.805,584901.0
2023-08-24 04:00:00+00:00,238.7,238.855,228.335,230.04,471519.0
2023-08-25 04:00:00+00:00,231.35,238.92,230.44,238.56,508290.0
2023-08-28 04:00:00+00:00,242.71,244.37,235.35,238.76,503883.0
2023-08-29 04:00:00+00:00,238.55,257.41,237.835,257.2,834005.0
2023-08-30 04:00:00+00:00,254.27,260.5,250.65,257.05,613431.0
2023-08-31 04:00:00+00:00,256.215,261.1,255.05,258.06,485304.0
2023-09-01 04:00:00+00:00,257.37,258.99,242.525,244.965,733464.0
2023-09-05 04:00:00+00:00,245.01,257.985,244.88,256.49,607162.0
2023-09-06 04:00:00+00:00,255.0,255.17,245.11,251.99,584619.0
2023-09-07 04:00:00+00:00,244.95,252.77,243.355,251.48,600115.0
2023-09-08 04:00:00+00:00,251.415,256.49,246.85,248.42,643680.0
2023-09-11 04:00:00+00:00,264.21,274.825,260.67,273.63,1167982.0
2023-09-12 04:00:00+00:00,270.745,278.22,266.72,267.41,819739.0
2023-09-13 04:00:00+00:00,270.29,274.955,268.19,271.27,670825.0
2023-09-14 04:00:00+00:00,271.37,276.64,270.48,276.0,577269.0
2023-09-15 04:00:00+00:00,277.82,278.805,271.135,274.44,613861.0
2023-09-18 04:00:00+00:00,271.1,271.31,263.8,265.27,548522.0
2023-09-19 04:00:00+00:00,264.2,267.83,261.3,266.48,434034.0
2023-09-20 04:00:00+00:00,267.135,273.78,262.49,262.565,638231.0
2023-09-21 04:00:00+00:00,257.75,260.74,254.25,255.68,706019.0
2023-09-22 04:00:00+00:00,257.43,257.68,244.49,244.85,730784.0
2023-09-25 04:00:00+00:00,243.54,247.08,238.51,247.05,509466.0
2023-09-26 04:00:00+00:00,242.955,249.51,241.735,244.24,552394.0
2023-09-27 04:00:00+00:00,244.43,245.25,234.69,240.58,764488.0
2023-09-28 04:00:00+00:00,240.24,247.45,238.75,246.335,464359.0
2023-09-29 04:00:00+00:00,250.05,254.655,246.46,250.22,673690.0
2023-10-02 04:00:00+00:00,244.855,254.235,242.73,251.61,805529.0
2023-10-03 04:00:00+00:00,248.635,250.0,244.465,246.63,566789.0
2023-10-04 04:00:00+00:00,248.25,261.83,247.62,261.07,719863.0
2023-10-05 04:00:00+00:00,259.8,263.46,256.295,260.08,658002.0
2023-10-06 04:00:00+00:00,253.79,261.61,250.68,260.52,709986.0
2023-10-09 04:00:00+00:00,255.28,261.31,252.12,259.68,524060.0
2023-10-10 04:00:00+00:00,257.91,268.91,257.79,263.67,563138.0
2023-10-11 04:00:00+00:00,266.21,268.495,260.91,262.94,463850.0
2023-10-12 04:00:00+00:00,262.89,265.36,256.64,259.005,528530.0
2023-10-13 04:00:00+00:00,259.0,259.59,250.23,251.19,562857.0
2023-10-16 04:00:00+00:00,250.05,255.39,248.48,253.79,519612.0
2023-10-17 04:00:00+00:00,250.045,257.15,247.11,254.93,439910.0
2023-10-18 04:00:00+00:00,252.75,254.535,242.12,242.55,948417.0
2023-10-19 04:00:00+00:00,225.56,230.525,216.81,220.14,1644541.0
